"Model","Accuracy","Sensitivity","Specificity","Precision","F1_Score","AUC","Kappa"
"RF_TRAIN",0.981143395902974,0.980670250486103,0.981615757921781,0.981568402976531,0.981119121180913,0.999204498789277,0.96228673734803
"XGB_TRAIN",0.951801377103511,0.956193526249571,0.947416500142735,0.947792075279179,0.951974264810545,0.985926508834815,0.903603395424202
"XGB_TEST",0.942796186412427,0.950086747631122,0.935518252065015,0.936340918058661,0.943163751987281,0.971081171452357,0.885593741306167
"RF_TEST",0.942196146409761,0.950353663419191,0.934052757793765,0.93500525210084,0.942616983255014,0.970615064512294,0.884393849342741
"LR_TRAIN",0.87200365703837,0.861432002745053,0.882557807593491,0.879848130841121,0.870542680460036,0.932298212453573,0.744002702418341
"LR_TEST",0.872458163877592,0.860803416522087,0.884092725819345,0.881147540983607,0.870856679943293,0.931860517191478,0.744911035937652
